"show_1","show_2","distance"
"Bleach","Naruto: Shippuden","0.592953046063873"
"Naruto: Shippuden","Bleach","0.592953046063873"
"Bleach","Toradora!","0.590102445980212"
"Toradora!","Bleach","0.590102445980212"
"Bleach","Fairy Tail","0.455821400643126"
"Fairy Tail","Bleach","0.455821400643126"
"Bleach","Tokyo Ghoul","0.533282635337325"
"Tokyo Ghoul","Bleach","0.533282635337325"
"Bleach","Fullmetal Alchemist: Brotherhood","0.486826522786761"
"Fullmetal Alchemist: Brotherhood","Bleach","0.486826522786761"
"Bleach","Steins;Gate","0.56138391859938"
"Steins;Gate","Bleach","0.56138391859938"
"Bleach","Naruto","0.460601396202055"
"Naruto","Bleach","0.460601396202055"
"Bleach","Sword Art Online II","0.564465315374921"
"Sword Art Online II","Bleach","0.564465315374921"
"Bleach","Blue Exorcist","0.477083015704433"
"Blue Exorcist","Bleach","0.477083015704433"
"Bleach","Akame ga Kill!","0.552775314203765"
"Akame ga Kill!","Bleach","0.552775314203765"
"Bleach","Sword Art Online","0.491476872694476"
"Sword Art Online","Bleach","0.491476872694476"
"Bleach","Noragami: Stray God","0.560144462793337"
"Noragami: Stray God","Bleach","0.560144462793337"
"Bleach","No Game, No Life","0.554121158831411"
"No Game, No Life","Bleach","0.554121158831411"
"Bleach","Code Geass: Lelouch of the Rebellion R2","0.542689538493079"
"Code Geass: Lelouch of the Rebellion R2","Bleach","0.542689538493079"
"Bleach","Death Note","0.523464800756859"
"Death Note","Bleach","0.523464800756859"
"Bleach","Attack on Titan","0.495037238775855"
"Attack on Titan","Bleach","0.495037238775855"
"Bleach","Soul Eater","0.537849555357247"
"Soul Eater","Bleach","0.537849555357247"
"Bleach","Elfen Lied","0.587836530893396"
"Elfen Lied","Bleach","0.587836530893396"
"Bleach","One Punch Man","0.546771714499543"
"One Punch Man","Bleach","0.546771714499543"
"Bleach","The Future Diary","0.542942226894343"
"The Future Diary","Bleach","0.542942226894343"
"Bleach","Fullmetal Alchemist","0.56683900811784"
"Fullmetal Alchemist","Bleach","0.56683900811784"
"Bleach","Gurren Lagann","0.607024286593149"
"Gurren Lagann","Bleach","0.607024286593149"
"Bleach","Angel Beats!","0.559938383275635"
"Angel Beats!","Bleach","0.559938383275635"
"Bleach","Code Geass: Lelouch of the Rebellion","0.537548235848669"
"Code Geass: Lelouch of the Rebellion","Bleach","0.537548235848669"
"Naruto: Shippuden","Toradora!","0.711230349481537"
"Toradora!","Naruto: Shippuden","0.711230349481537"
"Naruto: Shippuden","Fairy Tail","0.590583761119489"
"Fairy Tail","Naruto: Shippuden","0.590583761119489"
"Naruto: Shippuden","Tokyo Ghoul","0.583799718118848"
"Tokyo Ghoul","Naruto: Shippuden","0.583799718118848"
"Naruto: Shippuden","Fullmetal Alchemist: Brotherhood","0.640234951802142"
