"show_1","show_2","distance"
"Ouran High School Host Club","Maid Sama!","0.504088480488059"
"Maid Sama!","Ouran High School Host Club","0.504088480488059"
"Ouran High School Host Club","My Little Monster","0.57740347822141"
"My Little Monster","Ouran High School Host Club","0.57740347822141"
"Ouran High School Host Club","Bleach","0.722374875896642"
"Bleach","Ouran High School Host Club","0.722374875896642"
"Ouran High School Host Club","Naruto: Shippuden","0.842602640527751"
"Naruto: Shippuden","Ouran High School Host Club","0.842602640527751"
"Ouran High School Host Club","Toradora!","0.508089269254299"
"Toradora!","Ouran High School Host Club","0.508089269254299"
"Ouran High School Host Club","One Piece","1"
"One Piece","Ouran High School Host Club","1"
"Ouran High School Host Club","Fairy Tail","0.717656574740936"
"Fairy Tail","Ouran High School Host Club","0.717656574740936"
"Ouran High School Host Club","The Devil is a Part-Timer!","0.653293798513019"
"The Devil is a Part-Timer!","Ouran High School Host Club","0.653293798513019"
"Ouran High School Host Club","Darker than Black","0.597219488776126"
"Darker than Black","Ouran High School Host Club","0.597219488776126"
"Ouran High School Host Club","Hunter x Hunter","0.747882733047914"
"Hunter x Hunter","Ouran High School Host Club","0.747882733047914"
"Ouran High School Host Club","The Seven Deadly Sins","0.742481017537418"
"The Seven Deadly Sins","Ouran High School Host Club","0.742481017537418"
"Ouran High School Host Club","Dragon Ball Z","0.693306677921998"
"Dragon Ball Z","Ouran High School Host Club","0.693306677921998"
"Ouran High School Host Club","Assassination Classroom","0.732568907500394"
"Assassination Classroom","Ouran High School Host Club","0.732568907500394"
"Ouran High School Host Club","Your Name.","0.697064226451884"
"Your Name.","Ouran High School Host Club","0.697064226451884"
"Ouran High School Host Club","Tokyo Ghoul","0.651352551267347"
"Tokyo Ghoul","Ouran High School Host Club","0.651352551267347"
"Ouran High School Host Club","KILL la KILL","0.702589328304386"
"KILL la KILL","Ouran High School Host Club","0.702589328304386"
"Ouran High School Host Club","Beyond the Boundary","0.676540163412077"
"Beyond the Boundary","Ouran High School Host Club","0.676540163412077"
"Ouran High School Host Club","My Teen Romantic Comedy SNAFU","0.711942936101333"
"My Teen Romantic Comedy SNAFU","Ouran High School Host Club","0.711942936101333"
"Ouran High School Host Club","Princess Mononoke","0.550077194348821"
"Princess Mononoke","Ouran High School Host Club","0.550077194348821"
"Ouran High School Host Club","Howl&#039;s Moving Castle","0.490073459504866"
"Howl&#039;s Moving Castle","Ouran High School Host Club","0.490073459504866"
"Ouran High School Host Club","Fullmetal Alchemist: Brotherhood","0.58113982891196"
"Fullmetal Alchemist: Brotherhood","Ouran High School Host Club","0.58113982891196"
"Ouran High School Host Club","Is It Wrong to Try to Pick Up Girls in a Dungeon?","0.757527406594933"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","Ouran High School Host Club","0.757527406594933"
"Ouran High School Host Club","Clannad ~After Story~","0.592104770258954"
"Clannad ~After Story~","Ouran High School Host Club","0.592104770258954"
